hide;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;gsv
;51.2318232427;-0.3354686277;open;;King's Arms;45 West Street;;Dorking;Surrey;RH4 1BU ;;https://whatpub.com/img/REI/91/kings-arms-dorking/200/150;https://whatpub.com/pubs/REI/91/kings-arms-dorking;https://www.google.co.uk/maps/@51.2317689,-0.3353705,3a,75y,326.98h,92.3t/data=!3m6!1e1!3m4!1s1eqeoM72tWU89oZuUfyPmQ!2e0!7i13312!8i6656
;51.2316890538;-0.3361724853;open;;Old House at Home;24 West Street;;Dorking;Surrey;RH4 1BY ;;https://whatpub.com/img/REI/96/old-house-dorking/200/150;https://whatpub.com/pubs/REI/96/old-house-dorking;https://www.google.co.uk/maps/@51.2317714,-0.3360084,3a,51.9y,232.78h,96.01t/data=!3m6!1e1!3m4!1s4Etz_57UO8T_6k6gPAYhDA!2e0!7i13312!8i6656
;51.2318822856;-0.3367144271;open;;Star;36 West Street;;Dorking;Surrey;RH4 1BU ;;https://whatpub.com/img/REI/103/star-inn-dorking/200/150;https://whatpub.com/pubs/REI/103/star-inn-dorking;https://www.google.co.uk/maps/@51.2319965,-0.3368601,3a,51.4y,136.5h,96.63t/data=!3m6!1e1!3m4!1sAK0BcYcGKE8xfn_f1TVxvg!2e0!7i13312!8i6656
;51.2316932292;-0.3341085358;gone;1979;Bell;57 West Street;;Dorking;Surrey;RH4 1BS ;;http://www.closedpubs.co.uk/surrey/pics/dorking_bell.JPG;https://whatpub.com/pubs/REI/83/bell-dorking;https://www.google.co.uk/maps/@51.2316313,-0.3340766,3a,89.8y,344.08h,89.31t/data=!3m6!1e1!3m4!1stVYvvFDiLBRpW5WNJo6OZQ!2e0!7i13312!8i6656
;51.2324422954;-0.3303120851;open;;White Horse Hotel;74-77 High Street;;Dorking;Surrey;RH4 1BE ;;https://whatpub.com/img/REI/107/white-horse-hotel-dorking/298/224/1;https://whatpub.com/pubs/REI/107/white-horse-hotel-dorking;https://www.google.co.uk/maps/@51.2325861,-0.3305374,3a,55.8y,123.61h,88.48t/data=!3m6!1e1!3m4!1sL_bmaMty4IJooVzt6qefug!2e0!7i13312!8i6656
;51.2316497283;-0.3328455644;bone;C18;King's Head;3-11 High Street;;Dorking;Surrey;RH4 1AR ;Lower Chequers Inn ;https://whatpub.com/img/REI/92/courtyard-cafe-bar-dorking/298/224/1;https://whatpub.com/pubs/REI/92/courtyard-cafe-bar-dorking;https://www.google.co.uk/maps/@51.2316007,-0.3328123,3a,89.8y,321.71h,83.36t/data=!3m6!1e1!3m4!1s4vVGE_QrrJhamy8Mni0tWQ!2e0!7i13312!8i6656
;51.2331657058;-0.328902465;limbo;;Surrey Yeoman;220-222 High Street;;Dorking;Surrey;RH4 1QR ;;https://whatpub.com/img/REI/104/surrey-yeoman-dorking/298/224/1000001;https://whatpub.com/pubs/REI/104/surrey-yeoman-dorking;https://www.google.co.uk/maps/@51.2332453,-0.3289806,3a,75y,140.24h,89.9t/data=!3m6!1e1!3m4!1sRB7AMFxlVsavpYzCQ52gBg!2e0!7i13312!8i6656
;51.2398798198;-0.3248564753;open;;Lincoln Arms;Station Approach;;Dorking;Surrey;RH4 1TF ;Star and Garter;https://whatpub.com/img/REI/93/lincoln-arms-hotel-dorking/298/224/1;https://whatpub.com/pubs/REI/93/lincoln-arms-hotel-dorking;https://www.google.co.uk/maps/@51.2399702,-0.3252059,3a,52.4y,100.89h,94.19t/data=!3m6!1e1!3m4!1sMvgga9pMTc2oQGCpODSyFw!2e0!7i13312!8i6656
;51.2474836562;-0.3239356968;bone;1876;Beehive;London Road;;Dorking;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/dorking_beehive2.jpg;http://www.closedpubs.co.uk/surrey/dorking_beehive2.html;https://www.google.co.uk/maps/@51.2474026,-0.3242468,3a,51.6y,67.5h,91.52t/data=!3m6!1e1!3m4!1sAnAmojoR4s7Kag8YX8IexA!2e0!7i13312!8i6656
;51.2339394975;-0.3320269636;dead;2008;Malthouse;29 Mill Lane;;Dorking;Surrey;RH4 1DX ;Evening Star;http://www.closedpubs.co.uk/surrey/pics/dorking_malthouse.JPG|https://whatpub.com/img/REI/94/malthouse-dorking/298/224/1;https://whatpub.com/pubs/REI/94/malthouse-dorking;https://www.google.co.uk/maps/@51.2341148,-0.3317597,3a,55.2y,221.77h,92.86t/data=!3m6!1e1!3m4!1saJuaH1uPSRQnlRqCHZ9yrQ!2e0!7i13312!8i6656
