_id;hide;kind;vague;lat;lon;status;closed;name;addr;town;posttown;county;postcode;prev;img;url;listed;gsv
gu48-newlands-corner-hotel;;hotel;;;;open;;Manor House Hotel;Newlands Corner ;Albury;Guildford;Surrey;GU4 8SE ;Newlands Corner Hotel;http://images.pub-explorer.com/pubs/16500/lr_manor-house-hotel-guildford_191020120746261968.jpg;http://www.manorhouse-hotel.com/;;https://www.google.co.uk/maps/@51.2372684,-0.5061887,3a,25.8y,97.81h,92.33t/data=!3m6!1e1!3m4!1sLFW19ROit62jwiHa2k0s6g!2e0!7i13312!8i6656
gu48-percy-arms;;;;51.215469;-0.525991;open;;Percy Arms;75 Dorking Road;Chilworth;Guildford;Surrey;GU4 8NP;;https://whatpub.com/img/SHB/429/percy-arms-chilworth/298/224/2011010;https://whatpub.com/pubs/SHB/429/percy-arms-chilworth;;https://www.google.co.uk/maps/@51.2153746,-0.5260592,3a,75y,6.5h,87.2t/data=!3m6!1e1!3m4!1slukfSUwT9hrTZRizHmrOtA!2e0!7i13312!8i6656
gu48-villagers;;;;51.206;-0.52044;limbo;;Villagers;Blackheath Lane;Blackheath;Guildford;Surrey;GU4 8RB;Volunteer Arms;http://www.closedpubs.co.uk/surrey/pics/blackheath_villagers.JPG;http://www.closedpubs.co.uk/surrey/blackheath_villagers.html|https://whatpub.com/pubs/SHB/644/villagers-blackheath;;https://www.google.co.uk/maps/@51.2059342,-0.5204755,3a,75y,21.08h,89.37t/data=!3m7!1e1!3m5!1sImdogdfTYrvFzebP5QqD5Q!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DImdogdfTYrvFzebP5QqD5Q%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D110.23804%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
gu48-forest-king;;;;51.20542;-0.520068;bone;c1954;Forest King ;;Blackheath;Guildford;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/blackheath_forestking.jpg;http://www.closedpubs.co.uk/surrey/blackheath_forestking.html;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
gu50-bramley-grange-hotel;;;;51.195079;-0.559455;gone;;Bramley Grange Hotel;Horsham Road ;Bramley ;Guildford;Surrey;GU5 0ES ;;;https://whatpub.com/pubs/SHB/70/bramley-grange-hotel-bramley;;
gu50-jolly-farmer;;;;51.194147;-0.558172;open;;Jolly Farmer;High Street ;Bramley ;Guildford;Surrey;GU5 0HB ;;https://whatpub.com/img/SHB/329/jolly-farmer-bramley/298/224/51004;https://whatpub.com/pubs/SHB/329/jolly-farmer-bramley;;https://www.google.co.uk/maps/@51.1942655,-0.5581299,3a,75y,209.52h,88.97t/data=!3m6!1e1!3m4!1sgP5x6Cm3_ixBVEJuA_dewg!2e0!7i13312!8i6656
gu50-wheatsheaf;;;;;;;;Wheatsheaf;High Street ;Bramley ;Guildford;Surrey;;;;;;
gu50-grantley-arms;;;;51.19722;-0.545819;open;;Grantley Arms;The Street ;Wonersh ;Guildford;Surrey;GU5 0PE ;;https://whatpub.com/img/SHB/260/grantley-arms-wonersh/298/224/2001795;https://whatpub.com/pubs/SHB/260/grantley-arms-wonersh;;https://www.google.co.uk/maps/@51.1972131,-0.5460323,3a,75y,111.29h,92.64t/data=!3m6!1e1!3m4!1s8Hf8XI2PYeid0w20P4JA7A!2e0!7i13312!8i6656
gu50-barnett-hill-hotel;;;;51.199045;-0.535086;open;;Barnett Hill Hotel;Blackheath Lane ;Wonersh ;Guildford;Surrey;GU5 0RF ;;;https://whatpub.com/pubs/SHB/836/barnett-hill-hotel-wonersh;;https://www.google.co.uk/maps/@51.1992938,-0.5345056,3a,75y,225.84h,97.07t/data=!3m6!1e1!3m4!1sg6wY1petP_0d0rbdWsgalA!2e0!7i13312!8i6656
gu50-bricklayers-arms;;;;51.182731;-0.523508;open;;Bricklayers Arms;The Green ;Shamley Green ;Guildford;Surrey;GU5 0UA ;;https://whatpub.com/img/SHB/73/bricklayers-arms-shamley-green/298/224/50982;https://whatpub.com/pubs/SHB/73/bricklayers-arms-shamley-green;;https://www.google.co.uk/maps/@51.182706,-0.5236304,3a,75y,85.19h,94.46t/data=!3m7!1e1!3m5!1s8BMX__KRJRWXYCk1aNXfcA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3D8BMX__KRJRWXYCk1aNXfcA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D279.4295%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
gu50-red-lion;;;;51.184819;-0.525123;open;;Red Lion;The Green ;Shamley Green ;Guildford;Surrey;GU5 0UB ;;https://whatpub.com/img/SHB/496/red-lion-shamley-green/298/224/71526;https://whatpub.com/pubs/SHB/496/red-lion-shamley-green;;https://www.google.co.uk/maps/@51.1846785,-0.5252974,3a,75y,66.6h,93.89t/data=!3m6!1e1!3m4!1scCeQzl99g3kxum3XH1MSsQ!2e0!7i13312!8i6656
gu50-railway-arms;;;;51.168687;-0.526275;bone;1957;Railway Arms ;Run Common ;Shamley Green ;Guildford;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/shamleygreen_railwayarms.jpg;http://www.closedpubs.co.uk/surrey/shamleygreen_railwayarms.html;;
;;;;;;;;;;;;;;;;;;
gu59-drummond;;;;51.220209;-0.498723;open;;Drummond at Albury;The Street;Albury;Guildford;Surrey;GU5 9AG;Drummond Arms;https://whatpub.com/img/REI/3/drummond-at-albury-albury/298/224/1;https://whatpub.com/pubs/REI/3/drummond-at-albury-albury;;https://www.google.co.uk/maps/@51.2201185,-0.498557,3a,75y,300.84h,90.38t/data=!3m6!1e1!3m4!1s-xs45ESkGGXag1ppwP8I2w!2e0!7i13312!8i6656
gu59-william-iv;;;;51.2099803264;-0.4759097113;open;;William IV;Little London;Albury Heath;Guildford;Surrey;GU5 9DG;;https://whatpub.com/img/REI/4/william-iv-albury-heath/298/224/1;https://whatpub.com/pubs/REI/4/william-iv-albury-heath;;https://www.google.co.uk/maps/@51.209723,-0.4758455,3a,75y,287.3h,86.71t/data=!3m6!1e1!3m4!1sYQEJ1nrYR_RcicWSAtLcwg!2e0!7i13312!8i6656
gu59-white-horse;;;;51.2192354293;-0.4649502052;open;;White Horse;Shere Lane;Shere;Guildford;Surrey;GU5 9HS;;https://whatpub.com/img/REI/353/white-horse-shere/200/150;https://whatpub.com/pubs/REI/353/white-horse-shere;;https://www.google.co.uk/maps/@51.2193339,-0.464808,3a,75y,223.37h,92.73t/data=!3m6!1e1!3m4!1sjsKODxWPvzr6v21RWCTLfw!2e0!7i13312!8i6656
gu59-prince-wales;;;;51.2186944723;-0.465049447;open;;William Bray;Shere Lane;Shere;Guildford;Surrey;GU5 9HS;Prince of Wales;https://whatpub.com/img/REI/351/william-bray-shere/200/150;https://whatpub.com/pubs/REI/351/william-bray-shere;;https://www.google.co.uk/maps/@51.2187798,-0.4648553,3a,90y,248.52h,85.7t/data=!3m6!1e1!3m4!1s1w067tA4MUgp0cdG7-GH1g!2e0!7i13312!8i6656
gu59-compasses;;;;51.2200896923;-0.4479932812;open;;Compasses;50 Station Road;Gomshall;Guildford;Surrey;GU5 9LA;;https://whatpub.com/img/REI/186/compasses-gomshall/200/150;https://whatpub.com/pubs/REI/186/compasses-gomshall;;https://www.google.co.uk/maps/@51.219973,-0.4475958,3a,44.6y,296.69h,89.26t/data=!3m6!1e1!3m4!1sY1bsqGFKycX-i97qMteLNA!2e0!7i13312!8i6656
gu59-gomshall-mill;;;;51.2195050662;-0.4471939829;open;;Gomshall Mill;52 Station Road;Gomshall;Guildford;Surrey;GU5 9LB;;https://whatpub.com/img/REI/418/gomshall-mill-gomshall/200/150;https://whatpub.com/pubs/REI/418/gomshall-mill-gomshall;;https://www.google.co.uk/maps/@51.2196914,-0.4472274,3a,54.3y,187.07h,86.72t/data=!3m6!1e1!3m4!1s9N4KpWoss951cPjnB6ml-w!2e0!7i13312!8i6656
gu59-black-horse;;;;51.2191136313;-0.4457885054;dead;2008;Black Horse;55 Station Road;Gomshall;Guildford;Surrey;GU5 9NP;;https://whatpub.com/img/REI/185/black-horse-gomshall/298/224/1;http://www.closedpubs.co.uk/surrey/gomshall_blackhorse.html|https://whatpub.com/pubs/REI/185/black-horse-gomshall;;https://www.google.co.uk/maps/@51.2189817,-0.4455702,3a,75y,330.01h,91.87t/data=!3m6!1e1!3m4!1sYrON42gGyBHLhP7VN3SITw!2e0!7i13312!8i6656
gu59-hurtwood-inn;;;;51.1919570686;-0.4471322921;open;;Hurtwood Inn;Walking Bottom;Peaslake;Guildford;Surrey;GU5 9RR;;https://whatpub.com/img/REI/282/hurtwood-inn-peaslake/298/224/1;https://whatpub.com/pubs/REI/282/hurtwood-inn-peaslake;;https://www.google.co.uk/maps/@51.1918446,-0.4469213,3a,75y,337.24h,89.48t/data=!3m7!1e1!3m5!1suAXPwh_1y_hhlHkb_R5jHw!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DuAXPwh_1y_hhlHkb_R5jHw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D283.80908%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
gu67-white-hart-hotel;;;;51.141322;-0.483127;open;;White Hart Hotel;Ewhurst Road ;;Cranleigh ;Surrey;GU6 7AE ;;https://whatpub.com/img/REI/79/white-hart-hotel-cranleigh/298/224/1;https://whatpub.com/pubs/REI/79/white-hart-hotel-cranleigh;;https://www.google.co.uk/maps/@51.1414119,-0.4832843,3a,75y,130.99h,90.62t/data=!3m6!1e1!3m4!1s5zUAaG06hnEIUWUotVfOQQ!2e0!7i13312!8i6656
gu67-park-hatch;;;;51.145754;-0.471259;open;;Park Hatch;Bookhurst Road ;;Cranleigh ;Surrey;GU6 7DN ;Little Park Hatch;https://whatpub.com/img/REI/75/park-hatch-cranleigh/298/224/1;https://whatpub.com/pubs/REI/75/park-hatch-cranleigh;;https://www.google.co.uk/maps/@51.1460141,-0.4709885,3a,56.4y,215.46h,98.21t/data=!3m6!1e1!3m4!1sfHHJKmyLjutsVnhzzTlLgA!2e0!7i13312!8i6656
gu67-natashas;;bar;;51.144401;-0.47788;dead;late 1990s;Natasha's;The Old Barn, Ewhurst Road ;;Cranleigh ;Surrey;GU6 7EF ;;https://whatpub.com/img/REI/76/natashas-cranleigh/298/224/1;https://whatpub.com/pubs/REI/76/natashas-cranleigh;;https://www.google.co.uk/maps/@51.1444693,-0.4779294,3a,75y,143h,83.05t/data=!3m7!1e1!3m5!1sb13qf-66m8P3cJDnp_6d8g!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3Db13qf-66m8P3cJDnp_6d8g%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D98.355095%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
gu67-windmill;;;;51.1705734587;-0.4565307525;open;;Windmill;Ride Way, Pitch Hill;Ewhurst;Cranleigh ;Surrey;GU6 7NN;;https://whatpub.com/img/REI/168/windmill-inn-ewhurst/298/224/1;https://whatpub.com/pubs/REI/168/windmill-inn-ewhurst;;https://www.google.co.uk/maps/@51.1705792,-0.456096,3a,51.4y,283.53h,91.15t/data=!3m6!1e1!3m4!1s54rtPMdR0InFnzRk-QAvqw!2e0!7i13312!8i6656
gu67-bulls-head-2;;;;51.156345;-0.442451;open;;Bull's Head [2];The Street;Ewhurst;Cranleigh ;Surrey;GU6 7QD;;https://whatpub.com/img/REI/167/bulls-head-ewhurst/298/224/1;https://whatpub.com/pubs/REI/167/bulls-head-ewhurst;;https://www.google.co.uk/maps/@51.1563638,-0.4426438,3a,75y,113.78h,91.47t/data=!3m6!1e1!3m4!1sJorXAR4ROmoZFV_D5IN4bQ!2e0!7i13312!8i6656
gu67-bulls-head-1;;;;51.15287;-0.44164;bone;1908;Bull’s Head [1];The Street;Ewhurst;Cranleigh ;Surrey;;;https://photos.francisfrith.com/frith/ewhurst-post-office-1925_77184.jpg;http://www.closedpubs.co.uk/surrey/ewhurst_bullshead.html;;https://www.google.co.uk/maps/@51.1529958,-0.4417925,3a,53.1y,130.54h,94.76t/data=!3m7!1e1!3m5!1sh2H-4UYwPaeyWC_yPEFyVQ!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3Dh2H-4UYwPaeyWC_yPEFyVQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D39.71271%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
gu67-crown;;;;51.15639;-0.4435;bone;1960;Crown ;;Ewhurst;Cranleigh ;Surrey;;;https://photos.francisfrith.com/frith/ewhurst-village-1925_77183.jpg|https://photos.francisfrith.com/frith/ewhurst-the-crown-inn-c1955_e47016.jpg;http://www.closedpubs.co.uk/surrey/ewhurst.html;;
gu67-white-hart;;;;51.15554;-0.44185;bone;1900s;White Hart ;The Street;Ewhurst;Cranleigh ;Surrey;;;http://media.rightmove.co.uk/dir/90k/89741/47924527/89741_HOR150003_IMG_26_0000_max_656x437.jpg;http://www.closedpubs.co.uk/surrey/ewhurst.html;https://historicengland.org.uk/listing/the-list/list-entry/1044312;https://www.google.co.uk/maps/@51.155419,-0.4421522,3a,75y,51.82h,94.51t/data=!3m6!1e1!3m4!1smers2BkM0sE_Pk92FEUvbw!2e0!7i13312!8i6656
;;;;;;;;;;;;;;;;;;
gu68-three-horseshoes;;;;51.14055;-0.486012;open;;Three Horseshoes;4 High Street ;;Cranleigh ;Surrey;GU6 8AE ;;https://whatpub.com/img/REI/78/three-horseshoes-cranleigh/298/224/1;https://whatpub.com/pubs/REI/78/three-horseshoes-cranleigh;;https://www.google.co.uk/maps/@51.1407451,-0.4860676,3a,50.5y,169.76h,88.95t/data=!3m6!1e1!3m4!1sG_IEqMlHWClMfyUwCnBBiw!2e0!7i13312!8i6656
gu68-onslow-arms;;;;51.141592;-0.490123;open;;Richard Onslow;113-117 High Street ;;Cranleigh ;Surrey;GU6 8AU ;Onslow Arms;https://whatpub.com/img/REI/77/richard-onslow-cranleigh/298/224/1;https://whatpub.com/pubs/REI/77/richard-onslow-cranleigh;;https://www.google.co.uk/maps/@51.1414874,-0.49024,3a,90y,39.14h,88.84t/data=!3m6!1e1!3m4!1sIl_2DZ46dv5ZjIGUC0nE4Q!2e0!7i13312!8i6656
gu68-boy-donkey;;;;51.126586;-0.491041;gone;1990s ;Boy & Donkey;Knowle Road ;;Cranleigh ;Surrey;GU6 8JW ;;http://www.closedpubs.co.uk/surrey/pics/cranleigh_boydonkey.JPG|https://whatpub.com/img/REI/73/boy-donkey-cranleigh/298/224/1;http://www.closedpubs.co.uk/surrey/cranleigh_boydonkey.html|https://whatpub.com/pubs/REI/73/boy-donkey-cranleigh;;https://www.google.co.uk/maps/@51.1265916,-0.4911329,3a,90y,74.99h,85.39t/data=!3m7!1e1!3m5!1s_BilTsrCLe9nnlxRO5ndkA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D_BilTsrCLe9nnlxRO5ndkA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D88.88555%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656
gu68-leathern-bottle;;;;51.145575;-0.5346;gone;;Leathern Bottle;Guildford Road ;Smithbrook ;Cranleigh ;Surrey;GU6 8LH ;;;https://whatpub.com/pubs/REI/441/leathern-bottle-smithbrook;;
gu68-four-elms;;;;51.158754;-0.495999;gone;1997;Four Elms;Smithwood Common Road ;Smithwood Common ;Cranleigh ;Surrey;GU6 8QP ;;http://www.closedpubs.co.uk/surrey/pics/cranleigh_fourelms.jpg|https://whatpub.com/img/REI/356/four-elms-smithwood-common/298/224/1;http://www.closedpubs.co.uk/surrey/cranleigh_fourelms.html|https://whatpub.com/pubs/REI/356/four-elms-smithwood-common;;
